Berkeley Arts Magnet,Berkeley
Cragmont Elementary,Berkeley
"Emerson Elementary, Berkeley",Berkeley
Jefferson Elementary,Berkeley
John Muir Elementary,Berkeley
LeConte Elementary School,Berkeley
Malcolm X Elementary School,Berkeley
Oxford Elementary,Berkeley
Rosa Parks ,Berkeley
Thousand Oaks,Berkeley
Washington Elementary,Berkeley
Bahia School Age Program,Berkeley
Berkeley Maynard Academy,Berkeley
Berkeley Youth Alternatives,Berkeley
Emerson Elementary,Oakland
Lafayette Elementary,Oakland
Think College Now,Oakland
James Kenney Recreation Center,Berkeley
"Martin Luther King, Jr. Elementary School",Oakland
Sankofa,Oakland
Young Adult Project,Berkeley